,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
288,saint albans,0,GB,1580780113,86,42.01,51.75,-0.33,18.34
289,kondoa,100,TZ,1580780114,98,62.71,-4.9,35.78,2.71
290,miandrivazo,98,MG,1580780114,74,76.48,-19.52,45.47,3.11
291,goundi,13,TD,1580780114,19,66.47,9.36,17.37,3.29
292,marquette,40,US,1580780114,73,27.0,46.53,-87.63,12.75
293,okha,100,RU,1580780114,93,11.59,53.57,142.95,14.52
294,tezu,0,IN,1580780115,41,62.31,27.92,96.17,2.33
295,valparaiso,0,CL,1580780115,60,68.0,-33.04,-71.63,11.41
296,kuytun,89,RU,1580780115,89,-6.12,54.34,101.5,12.77
297,gorontalo,99,ID,1580779578,88,77.74,0.54,123.06,2.59
298,gombe,1,NG,1580780116,19,62.53,10.29,11.17,6.6
299,luanda,75,AO,1580780116,100,73.4,-8.84,13.23,1.12
300,esperance,0,AU,1580779494,53,71.6,-33.87,121.9,11.41
301,dhidhdhoo,37,MV,1580780117,73,81.46,6.88,73.1,12.19
302,taonan,0,CN,1580780117,67,-1.59,45.33,122.78,12.39
303,saldanha,54,ZA,1580779797,93,64.4,-33.01,17.94,6.93
304,mahebourg,40,MU,1580779798,78,78.8,-20.41,57.7,11.41
305,zuwarah,31,LY,1580780118,59,60.91,32.93,12.08,11.32
306,khatanga,0,RU,1580779830,82,-20.63,71.97,102.5,10.87
307,salalah,15,OM,1580780118,73,69.8,17.02,54.09,3.94
308,ulladulla,40,AU,1580780118,42,71.01,-35.35,150.47,12.75
309,hobyo,27,SO,1580779787,74,74.12,5.35,48.53,11.21
310,buzhakan,20,AM,1580780119,80,30.2,40.45,44.52,5.39
311,adrar,0,MR,1580779860,16,62.74,20.5,-10.07,10.6
312,nantucket,1,US,1580780110,93,42.01,41.28,-70.1,6.93
313,palmer,20,US,1580779834,86,37.4,42.16,-72.33,1.52
314,canyon lake,1,US,1580780119,77,69.8,29.88,-98.26,11.41
315,abu dhabi,40,AE,1580780120,63,62.6,24.47,54.37,9.17
316,ayan,100,RU,1580779825,74,-0.36,56.45,138.17,8.93
317,mount isa,42,AU,1580779851,49,89.6,-20.73,139.5,6.93
318,tambilil,20,PH,1580780120,61,82.4,5.96,124.67,4.7
319,khandagayty,67,RU,1580780120,82,-13.11,50.73,92.05,1.59
320,obo,0,CF,1580780121,23,66.22,5.4,26.49,4.92
321,ornskoldsvik,100,SE,1580780121,78,15.8,63.29,18.72,5.82
322,mtsamboro,100,YT,1580780121,88,78.8,-12.7,45.07,4.7
323,pyapon,0,MM,1580780121,34,75.96,16.28,95.68,9.46
324,sangod,55,IN,1580780121,42,59.32,24.92,76.28,7.45
325,mbandaka,100,CD,1580780121,96,73.18,0.05,18.26,3.76
326,lebu,92,CL,1580780122,99,56.91,-37.62,-73.65,1.23
327,praya,0,CV,1580779814,56,71.6,14.92,-23.51,18.34
328,cherskiy,100,RU,1580779796,97,-28.32,68.75,161.3,5.95
329,margate,67,GB,1580779785,75,41.0,51.38,1.39,16.11
330,mantua,90,IT,1580780122,100,45.0,45.17,10.78,2.24
331,olutanga,100,PH,1580780123,58,82.58,7.31,122.85,2.64
332,rio grande,40,BR,1580780123,78,77.0,-32.03,-52.1,18.34
333,ouallam,0,NE,1580780123,14,65.07,14.32,2.09,8.81
334,hengshui,0,CN,1580779843,51,36.79,37.73,115.7,16.26
335,payo,100,ID,1580780123,79,75.65,-3.75,103.64,3.33
336,hukuntsi,0,BW,1580780123,28,70.11,-24.0,21.75,7.87
337,nemuro,40,JP,1580779917,53,24.8,43.32,145.57,9.17
338,yenagoa,85,NG,1580780124,82,78.19,4.92,6.26,1.74
339,nouadhibou,0,MR,1580780124,40,69.8,20.93,-17.03,8.05
340,san policarpo,52,PH,1580780124,75,79.14,12.18,125.51,13.62
341,atar,0,MR,1580780125,13,68.23,20.52,-13.05,14.25
342,palmas,40,BR,1580779832,94,75.2,-10.21,-48.36,3.36
343,kosino,100,RU,1580780125,97,31.64,58.41,51.28,7.16
344,severo-kurilsk,9,RU,1580779818,83,12.47,50.68,156.12,11.92
345,port hawkesbury,1,CA,1580780125,74,30.0,45.62,-61.35,10.29
346,seoul,1,KR,1580779780,38,32.0,37.57,126.98,2.04
347,beloha,0,MG,1580779881,86,70.47,-25.17,45.05,9.13
348,garden city,1,US,1580780126,93,43.0,42.33,-83.33,5.44
349,flinders,40,AU,1580779789,42,72.0,-34.58,150.86,12.75
350,eidfjord,100,NO,1580780126,82,18.0,60.47,7.07,4.05
351,cleja,13,RO,1580780126,100,39.2,46.42,26.9,5.82
352,poso,56,ID,1580780127,77,75.78,-1.4,120.75,3.83
353,duluth,90,US,1580780127,57,19.4,46.78,-92.11,8.05
354,saint george,40,US,1580779609,37,37.0,37.1,-113.58,13.87
355,taoudenni,0,ML,1580779816,28,61.03,22.68,-3.98,8.97
356,cockburn town,0,TC,1580779855,69,75.61,21.46,-71.14,17.38
357,norman wells,75,CA,1580779790,68,-16.6,65.28,-126.83,5.82
358,freeport,1,US,1580780015,75,48.99,40.66,-73.58,9.26
359,asyut,0,EG,1580780128,70,46.4,27.18,31.18,9.17
360,kantang,20,TH,1580780128,74,78.8,7.41,99.52,4.7
361,san patricio,90,MX,1580779805,94,73.4,19.22,-104.7,5.82
362,okhotsk,0,RU,1580780128,68,-8.27,59.38,143.3,5.64
363,ust-nera,32,RU,1580779818,97,-35.41,64.57,143.2,2.53
364,kayes,70,ML,1580780129,34,78.8,14.0,-11.0,6.93
365,mackenzie,1,CA,1580780129,78,15.8,55.3,-123.17,8.05
366,murdochville,48,CA,1580779994,89,19.63,48.96,-65.5,9.24
367,waipawa,0,NZ,1580780129,69,77.0,-41.41,175.52,24.16
368,deputatskiy,98,RU,1580779800,93,-22.56,69.3,139.9,6.24
369,neiafu,40,TO,1580780129,70,86.0,-18.65,-173.98,8.05
370,whitehorse,40,CA,1580780115,71,8.6,60.72,-135.05,19.46
371,comodoro rivadavia,0,AR,1580779915,26,69.8,-45.87,-67.5,13.87
372,kozan,99,TR,1580780130,100,48.2,37.46,35.82,4.7
373,gubkinskiy,100,RU,1580780130,94,1.56,64.43,76.5,19.17
374,brownsville,90,US,1580779910,78,72.0,25.9,-97.5,16.11
375,laguna,1,US,1580779612,25,53.6,38.42,-121.42,19.46
376,viisoara,22,RO,1580780131,75,43.0,46.55,23.92,9.17
377,faanui,99,PF,1580779809,80,82.18,-16.48,-151.75,12.84
378,ramanathapuram,100,IN,1580780131,78,78.17,9.38,78.83,10.65
379,grindavik,75,IS,1580779839,80,30.2,63.84,-22.43,4.7
380,stamford,1,US,1580779833,69,48.99,41.05,-73.54,3.36
381,mugur-aksy,27,RU,1580780132,54,5.14,50.35,90.5,5.7
382,pasni,0,PK,1580780132,48,60.85,25.26,63.47,10.63
383,buala,70,SB,1580779815,68,87.53,-8.14,159.59,10.2
384,ostrovnoy,100,RU,1580780132,93,20.26,68.05,39.51,16.13
385,gopalpur,97,IN,1580780132,73,73.06,19.27,84.92,4.05
386,sorong,3,ID,1580780133,48,91.17,-0.88,131.25,5.82
387,fortuna,1,US,1580779799,70,46.99,40.6,-124.16,19.46
388,fort nelson,20,CA,1580780133,77,-2.2,58.81,-122.7,4.7
389,turkmenabat,0,TM,1580780133,100,33.8,39.07,63.58,9.17
390,mogadishu,100,SO,1580780133,80,77.68,2.04,45.34,19.44
391,aswan,78,EG,1580779835,44,55.4,24.09,32.91,14.99
392,derzhavinsk,100,KZ,1580780134,91,25.48,51.1,66.32,18.66
393,katsuura,75,JP,1580779800,61,52.0,35.13,140.3,9.17
394,yumen,65,CN,1580779776,54,15.12,40.28,97.2,1.14
395,inhapim,84,BR,1580780134,78,73.4,-19.55,-42.12,4.7
396,anadyr,100,RU,1580779879,75,-20.0,64.75,177.48,15.66
397,tual,0,ID,1580780135,78,83.8,-5.67,132.75,12.03
398,elat,0,IL,1580780135,76,53.6,29.56,34.95,4.7
399,sao felix do xingu,91,BR,1580780135,93,71.58,-6.64,-51.99,1.66
400,kudahuvadhoo,30,MV,1580779853,76,81.46,2.67,72.89,15.93
401,liberal,90,US,1580780135,86,32.0,37.04,-100.92,11.41
402,mahibadhoo,0,MV,1580779839,75,81.55,3.78,72.97,16.62
403,klaksvik,76,FO,1580779809,74,37.4,62.23,-6.59,9.17
404,broken hill,0,AU,1580780136,22,69.8,-31.95,141.43,13.87
405,bikaner,0,IN,1580780136,36,57.83,28.02,73.3,8.97
406,manavalakurichi,20,IN,1580779887,88,77.0,8.13,77.3,2.24
407,methoni,49,GR,1580780136,93,55.99,36.82,21.7,4.7
408,baruun-urt,0,MN,1580780137,85,-15.05,46.68,113.28,6.06
409,kovur,11,IN,1580780137,69,75.51,14.48,79.98,1.88
410,misratah,0,LY,1580780137,80,63.7,32.38,15.09,21.43
411,springbok,68,ZA,1580780137,43,74.44,-29.66,17.89,2.57
412,kakching,0,IN,1580780137,62,56.16,24.48,93.98,1.79
413,pringsewu,98,ID,1580780138,71,81.12,-5.36,104.97,6.93
414,luorong,90,CN,1580780138,80,52.11,24.41,109.61,5.1
415,olafsvik,38,IS,1580779848,82,31.68,64.89,-23.71,6.85
416,lavrentiya,100,RU,1580779822,74,-9.74,65.58,-171.0,15.3
417,drakhtik,56,AM,1580780138,88,14.07,40.56,45.24,10.56
418,teya,100,RU,1580780138,98,-5.62,60.38,92.63,2.91
419,jalu,0,LY,1580779797,78,57.2,29.03,21.55,5.95
420,snasa,100,NO,1580780139,84,10.47,64.25,12.38,5.19
421,ulaanbaatar,0,MN,1580779845,67,-23.8,47.91,106.88,2.24
422,warrington,75,GB,1580780139,87,43.0,53.39,-2.58,25.28
423,namatanai,100,PG,1580779878,69,86.74,-3.67,152.43,7.29
424,bubaque,7,GW,1580780139,75,77.7,11.28,-15.83,11.68
425,concordia,0,AR,1580780140,55,79.0,-31.39,-58.02,3.0
426,zhigansk,13,RU,1580779835,95,-35.63,66.77,123.37,5.84
427,shaowu,99,CN,1580780140,94,47.3,27.34,117.48,1.39
428,chernyshevskiy,29,RU,1580780140,97,-34.55,63.01,112.47,2.59
429,teguldet,100,RU,1580780141,95,13.87,57.31,88.17,4.97
430,half moon bay,1,US,1580779793,61,55.4,37.46,-122.43,13.87
431,chissamba,100,AO,1580780141,98,60.22,-12.17,17.33,3.62
432,isoka,100,ZM,1580780141,99,62.92,-10.16,32.63,2.24
433,dunedin,100,NZ,1580779598,97,54.5,-45.87,170.5,8.39
434,richmond,1,US,1580779932,44,62.6,37.55,-77.46,4.7
435,oranjestad,20,AW,1580779947,74,80.6,12.52,-70.03,21.92
436,mareeba,9,AU,1580780142,66,91.99,-17.0,145.43,9.17
437,inhambane,100,MZ,1580780142,73,80.2,-23.86,35.38,8.3
438,caravelas,0,BR,1580779828,83,79.88,-17.71,-39.25,11.97
439,aguimes,0,ES,1580779811,52,75.99,27.91,-15.45,6.93
440,bullhead city,1,US,1580780103,8,51.8,35.15,-114.57,18.34
441,roald,93,NO,1580780143,79,30.99,62.58,6.13,2.24
442,morro da fumaca,30,BR,1580780143,98,67.78,-28.65,-49.21,2.26
443,sitka,90,US,1580779826,69,37.4,57.05,-135.33,21.92
444,monywa,0,MM,1580780143,37,68.04,22.12,95.13,6.58
445,valdivia,69,CL,1580780144,100,57.2,-39.81,-73.25,3.36
446,kishi,60,NG,1580780144,15,65.75,9.08,3.85,2.48
447,nishihara,20,JP,1580780144,64,69.8,26.18,127.76,12.75
448,shira,100,RU,1580780144,86,12.97,54.49,89.95,4.38
449,todos santos,5,MX,1580780144,72,69.01,23.45,-110.22,16.11
450,chico,40,US,1580779993,27,53.6,39.73,-121.84,14.99
451,port hedland,94,AU,1580779866,13,98.6,-20.32,118.57,18.34
452,concepcion,75,CL,1580780145,93,60.8,-36.83,-73.05,6.93
453,miles city,1,US,1580780145,79,26.6,46.41,-105.84,6.93
454,igarka,100,RU,1580780145,93,-3.68,67.47,86.58,21.21
455,dinagat,47,PH,1580780146,73,80.53,9.96,125.59,12.28
456,knysna,23,ZA,1580780146,94,71.6,-34.04,23.05,3.36
457,luderitz,0,NA,1580779807,88,62.6,-26.65,15.16,5.82
458,luzhou,66,CN,1580780146,67,53.29,28.87,105.44,2.48
459,bonthe,0,SL,1580780146,90,76.26,7.53,-12.51,6.31
460,prince rupert,90,CA,1580780146,75,32.0,54.32,-130.32,21.92
461,bonga,100,ET,1580780147,60,60.08,7.28,36.23,0.56
462,henties bay,86,NA,1580779840,90,64.0,-22.12,14.28,3.0
463,avera,1,US,1580780147,51,64.4,33.19,-82.53,3.36
464,cabo san lucas,5,MX,1580779816,72,71.01,22.89,-109.91,16.11
465,caraquet,1,CA,1580780147,74,30.2,47.79,-64.94,10.29
466,benalla,0,AU,1580780147,22,75.99,-36.55,145.98,5.82
467,road town,20,VG,1580780148,78,78.8,18.42,-64.62,4.7
468,usvyaty,31,RU,1580780148,78,28.36,55.75,30.75,9.24
469,morehead,75,US,1580780148,77,66.2,37.27,-87.18,12.75
470,saint-denis,75,FR,1580780148,81,45.0,48.92,2.33,13.87
471,hoopstad,19,ZA,1580780148,47,67.39,-27.83,25.91,5.06
472,susanville,0,US,1580780148,32,23.77,40.42,-120.65,4.76
473,kampong thum,97,KH,1580780149,56,83.32,12.71,104.89,7.2
474,tura,0,IN,1580780149,37,66.02,25.52,90.22,3.89
475,mehamn,100,NO,1580779882,69,19.24,71.04,27.85,11.74
476,tessalit,0,ML,1580780149,15,63.61,20.2,1.01,9.57
477,matagami,90,CA,1580780149,92,24.8,49.75,-77.63,2.24
478,lincoln,90,US,1580779866,63,32.0,40.8,-96.67,20.8
479,turukhansk,100,RU,1580780150,88,-4.5,65.82,87.98,12.1
480,novyy urgal,100,RU,1580780150,87,-4.61,51.07,132.56,0.94
481,dakoro,45,NE,1580780150,20,62.17,14.51,6.76,10.98
482,langub,74,PH,1580780150,75,78.3,10.8,123.54,15.46
483,sistranda,40,NO,1580780151,79,28.99,63.73,8.83,8.05
484,belaya gora,100,RU,1580779832,97,-18.85,68.53,146.42,7.29
485,lapua,40,FI,1580780151,92,19.0,62.92,23.17,4.7
486,kapenguria,0,KE,1580780151,92,57.13,1.25,35.09,2.08
487,vallenar,0,CL,1580780151,80,62.49,-28.57,-70.76,1.28
488,tuy hoa,9,VN,1580780152,80,75.15,13.08,109.3,12.21
489,clyde river,20,CA,1580779835,73,-32.8,70.47,-68.59,2.24
490,puerto baquerizo moreno,75,EC,1580780152,83,80.6,-0.9,-89.6,11.41
491,pacific grove,1,US,1580779730,50,55.4,36.62,-121.92,12.75
492,sur,5,OM,1580780152,68,64.74,22.57,59.53,14.5
493,daman,0,IN,1580780153,64,66.11,20.42,72.85,3.71
494,safranbolu,100,TR,1580780153,99,32.94,41.25,32.69,2.91
495,hoquiam,1,US,1580780153,77,42.8,46.98,-123.89,5.82
496,chernaya kholunitsa,100,RU,1580780153,98,32.07,58.85,51.72,7.43
497,khorramabad,0,IR,1580780153,62,29.35,33.49,48.36,3.85
498,khrebtovaya,84,RU,1580780154,83,-13.45,56.7,104.25,3.76
499,leningradskiy,100,RU,1580779870,91,-15.23,69.38,178.42,20.96
500,diu,0,IN,1580780154,39,70.88,20.71,70.98,10.4
501,kenai,90,US,1580779916,73,26.01,60.55,-151.26,23.04
502,batemans bay,0,AU,1580780154,42,71.01,-35.72,150.18,7.0
503,madras,40,IN,1580779978,88,79.0,13.09,80.28,10.04
504,sorgun,100,TR,1580780155,95,37.62,39.81,35.19,14.94
505,grants pass,75,US,1580780039,52,42.8,42.44,-123.33,4.7
506,mgandu,97,TZ,1580780155,94,61.05,-5.95,34.13,2.55
507,camabatela,100,AO,1580779826,97,62.92,-8.19,15.38,7.56
508,kidal,0,ML,1580779878,14,63.21,18.44,1.41,7.34
509,ubinskoye,97,RU,1580780155,95,9.61,55.31,79.68,5.1
510,ban nahin,100,LA,1580780040,62,75.47,18.24,104.21,2.8
511,russellville,90,US,1580780156,77,64.0,35.28,-93.13,9.17
512,kutum,0,SD,1580779855,27,47.61,14.2,24.67,3.0
513,waddan,0,LY,1580780156,59,56.05,29.16,16.14,7.2
514,enshi,0,CN,1580780156,71,44.24,30.3,109.48,2.86
515,molodizhne,0,UA,1580780156,80,32.0,48.18,32.66,6.71
516,san cristobal,40,VE,1580779876,69,82.4,7.77,-72.22,2.24
517,poya,82,NC,1580780157,81,79.99,-21.35,165.15,13.73
518,ust-kulom,100,RU,1580780157,97,29.8,61.69,53.69,6.4
519,hervey bay,75,AU,1580779894,62,91.0,-25.3,152.85,10.29
520,cortez,90,US,1580780157,68,26.6,37.35,-108.59,4.7
521,solwezi,100,ZM,1580779803,99,61.99,-12.17,26.39,3.58
522,nueva gorgona,20,PA,1580780158,69,82.99,8.55,-79.87,5.82
523,mangrol,0,IN,1580780158,51,67.39,21.12,70.12,16.2
524,paralimni,40,CY,1580780158,87,51.01,35.04,33.98,2.24
525,korhogo,32,CI,1580780158,14,67.1,9.45,-5.63,4.63
526,acajutla,0,SV,1580779836,65,81.86,13.59,-89.83,8.05
527,yaan,12,NG,1580780159,47,72.19,7.38,8.57,4.14
528,eidsvag,82,NO,1580780159,73,26.6,62.78,8.07,6.93
529,norton,0,ZW,1580780159,92,61.02,-17.88,30.7,4.63
530,jacqueville,0,CI,1580780160,88,82.4,5.21,-4.41,5.82
531,westport,1,US,1580779797,86,48.99,41.14,-73.36,4.43
532,bernalillo,75,US,1580780160,22,55.99,35.05,-106.67,16.11
533,tomatlan,100,MX,1580780160,98,63.77,19.93,-105.25,3.2
534,lahij,3,YE,1580779794,85,68.31,13.17,44.58,10.31
535,belyy yar,98,RU,1580780160,76,-9.4,53.6,91.39,1.86
536,thinadhoo,0,MV,1580780161,72,82.54,0.53,72.93,12.15
537,yangambi,73,CD,1580780161,64,75.42,0.81,24.43,1.68
538,basco,96,PH,1580780161,67,73.35,20.45,121.97,15.05
539,naze,75,JP,1580780161,63,62.6,28.37,129.48,8.05
540,bodden town,20,KY,1580780161,83,78.01,19.28,-81.25,8.05
541,ca mau,100,VN,1580779993,66,81.55,9.18,105.15,11.92
542,bam,0,IR,1580780162,53,43.14,29.11,58.36,5.06
543,asau,35,RO,1580780162,100,39.2,46.43,26.4,5.82
544,bartlesville,1,US,1580780011,65,53.6,36.75,-95.98,4.7
545,finote selam,100,ET,1580780162,45,60.98,10.7,37.27,1.9
546,hofn,68,IS,1580779807,72,38.48,64.25,-15.21,3.74
547,calamar,0,CO,1580780163,83,80.6,10.25,-74.91,13.87
548,bhindar,0,IN,1580780163,93,48.2,24.5,74.18,5.75
549,nurlat,98,RU,1580780163,95,30.06,54.43,50.81,16.98
550,guane,0,CU,1580780163,69,71.4,22.2,-84.09,10.16
551,itaparica,40,BR,1580780163,83,82.4,-12.89,-38.68,12.75
552,autazes,41,BR,1580780164,79,75.97,-3.58,-59.13,2.62
553,porto velho,75,BR,1580780164,94,78.8,-8.76,-63.9,3.36
554,high level,40,CA,1580779798,83,-11.2,58.52,-117.14,4.7
555,dwarka,0,IN,1580780164,67,70.07,22.24,68.97,14.12
556,colares,0,PT,1580780164,93,57.0,38.8,-9.45,1.07
557,aykhal,0,RU,1580780164,66,-29.2,66.0,111.5,2.24
558,nambour,29,AU,1580780165,84,78.01,-26.63,152.95,10.0
559,gamba,100,GA,1580780165,91,75.58,-2.65,10.0,5.01
560,souillac,40,MU,1580779822,78,78.8,-20.52,57.52,11.41
561,rio branco,75,BR,1580780165,100,78.8,-9.97,-67.81,5.82
562,suifenhe,93,CN,1580780165,71,5.04,44.4,131.17,4.5
563,rincon,1,US,1580780166,67,60.8,32.3,-81.24,10.29
564,komsomolskiy,40,UZ,1580779868,74,39.2,40.43,71.72,2.24
565,coihaique,90,CL,1580779817,87,48.2,-45.58,-72.07,6.53
566,brandon,1,US,1580780166,93,62.6,27.94,-82.29,1.9
567,tecpan,5,GT,1580780166,82,66.2,14.76,-90.99,2.06
568,izobilnyy,75,RU,1580780166,86,41.0,45.37,41.71,26.84
569,kosh-agach,99,RU,1580780167,69,-5.13,50.0,88.67,1.12
570,wahpeton,100,US,1580780167,72,10.4,46.27,-96.61,8.05
571,cosenza,75,IT,1580780167,93,59.0,39.31,16.25,4.7
572,shush,0,IR,1580780167,54,46.81,32.19,48.24,5.06
573,viedma,99,AR,1580780077,59,76.37,-40.81,-63.0,18.41
574,visnes,100,NO,1580780168,75,42.8,59.36,5.22,14.99
575,la primavera,53,CO,1580780168,48,83.82,5.49,-70.41,4.45
576,birao,83,CF,1580780168,18,65.46,10.28,22.79,12.48
577,pangnirtung,17,CA,1580779785,67,-10.93,66.15,-65.71,6.53
